id;language;question;response1;response2;response3;solutionnb
1;fr;Visionner un film en basse résolution plutôt qu’en haute définition, divise de combien la consommation d’énergie totale nécessaire ?;Entre 2 et 4 fois;Entre 4 et 10 fois;Entre 10 et 20 fois;2
2;fr;De combien a été multiplié le poids moyen d’un page web sans pour autant accélérer les services rendus en 27 ans ?;26;94;155;3
3;fr;D’après l’étude Exceeding valus et Sandish Group publiée en 2014, quel est le pourcentage de fonctionnalités demandées par les utilisateurs qui ne sont jamais ou rarement utilisées ?;30%;50%;70%;3
4;fr;En 2022, quel était le pourcentage de la population mondiale ayant accès à internet ?;52%;63%;82%;2
5;fr;En 2022, combien de recherches étaient effectuées sur Google en 1 minute ?;590 000;5 900 000;59 000 000;3
6;fr;En 2022, combien de contenus étaient partagés sur Facebook en 1 minute ?;170 000;1 700 000;17 000 000;2
7;fr;En 2022, combien d’heures de vidéos étaient téléchargées sur Youtube en 1 minute ?;50;500;5 000;2
8;fr;En 2022, combien de dollars étaient dépensées dans les crypto-monnaies en 1 minute ?;9M;90M;900M;2
9;fr;En 2022, combien de dollars étaient dépensées sur Amazon en 1 minute ?;443k;873k;1263k;1
10;fr;En 2022, combien de photos étaient partagés sur Instagram en 1 minute ?;6 600;66 000;660 000;2
11;fr;En 2022, combien de tweets étaient postés sur Twitter en 1 minute ?;82 000;347 000;978 000;2
12;fr;En 2022, à quoi correspondait 2,4 millions ?;Nombre d’utilisateurs de Snapchat;Nombre de snap envoyés en 1 minute;Nombre d’heures d’utilisation de Snapchat par jour;2
13;fr;En 2022, combien de emails étaient envoyés en 1 minute ?;2,31 millions;23,1 millions;231 millions;2
14;fr;En 2022, combien de messages textes étaient envoyés en 1 minute ?;2,31 millions;23,1 millions;231 millions;2
15;fr;Le numérique est responsable de quelle pourcentage des émissions de gaz à effet de serre dans le monde en 2022 ?;4%;8%;12%;1
16;fr;Le numérique est responsable de quelle pourcentage de l’empreinte carbone nationale en France en 2022 ?;2,5%;5%;7,5%;2
17;fr;Si internet était un pays, à quelle place serait t’il dans le classement des plus gros consommateurs d’électricité mondial en 2022 ?;1er;3ème;7ème;2
18;fr;Quelle quantité de déchets d’équipements électriques et électroniques (DEEE) ont été générés dans le monde en 2019 ?;4 millions de tonnes;25 millions de tonnes;53 millions de tonnes;3
19;fr;En 2019, le numérique a émis autant de gaz à effet de serre de combien de tours du monde en voiture ?;34 millions;78 millions;116 millions;3
20;fr;Le numérique produit combien de fois plus de gaz à effet de serre que le transport aérien en 2021 ?;0,5;1,5;3;2
